Id,GeoFips,Metro name,2014 lower income share,2014 middle income share,2014 upper income share,2000 to 2014 lower income change,2000 to 2014 middle income change,2000 to 2014 upper income change
184,41660,"San Angelo, TX",27.97,56.57,15.46,-5.94,1.49,4.45
185,41700,"San Antonio-New Braunfels, TX",29.09,52.61,18.29,-2.69,-0.35,3.03
186,41740,"San Diego-Carlsbad, CA",31.32,50.44,18.24,0.02,-2.63,2.61
187,41860,"San Francisco-Oakland-Hayward, CA",24.22,47.70,28.09,0.63,-4.96,4.34
188,41940,"San Jose-Sunnyvale-Santa Clara, CA",20.35,48.54,31.12,1.19,-4.23,3.05
189,42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",29.81,51.25,18.94,-1.25,-0.90,2.16
190,42100,"Santa Cruz-Watsonville, CA",30.09,50.46,19.45,-0.80,0.16,0.64
191,42140,"Santa Fe, NM",29.39,49.34,21.26,5.29,-3.41,-1.90
192,42200,"Santa Maria-Santa Barbara, CA",33.75,46.32,19.93,3.21,-4.20,0.99
193,42220,"Santa Rosa, CA",26.95,53.97,19.08,1.91,-4.77,2.86
194,42540,"Scranton--Wilkes-Barre--Hazleton, PA",28.45,55.72,15.84,-0.39,-2.88,3.28
195,42660,"Seattle-Tacoma-Bellevue, WA",21.26,52.57,26.17,1.13,-6.81,5.68
196,43100,"Sheboygan, WI",18.21,63.15,18.65,2.62,-6.40,3.80
197,43340,"Shreveport-Bossier City, LA",32.75,49.36,17.89,0.10,-2.26,2.16
198,43900,"Spartanburg, SC",32.67,50.13,17.20,6.43,-6.74,0.30
199,44060,"Spokane-Spokane Valley, WA",32.10,52.13,15.77,3.90,-5.52,1.62
200,44100,"Springfield, IL",24.80,49.28,25.92,4.23,-11.63,7.40
201,44140,"Springfield, MA",28.83,51.01,20.15,2.73,-7.10,4.36
202,44180,"Springfield, MO",33.34,53.76,12.91,6.18,-5.19,-0.98
203,44220,"Springfield, OH",32.26,54.95,12.79,10.88,-6.08,-4.79
204,41180,"St. Louis, MO-IL",22.47,52.80,24.72,3.42,-4.94,1.51
205,44300,"State College, PA",35.34,49.38,15.28,-2.12,0.02,2.11
206,44700,"Stockton-Lodi, CA",34.51,50.57,14.92,0.24,-1.45,1.21
